,time_list,x,y,psi,u,v,r,δ,npm,X_H_ref,X_R_ref,X_P_ref,Y_H_ref,Y_R_ref,N_H_ref,N_R_ref,x_bow,y_bow,x_stern,y_stern
0,0,29.13046166666667,-3.5466083333333334,2.3176555733789503,0.2325222031722288,0.05535914078130484,0.0,-0.6108652381980153,9.0,-0.37132503457098504,-3.1417838009192502,3.9058400706481278,-1.4997028010263873,4.486932272897492,-1.8682430049673218,-8.931405234723504,27.941621308481512,-2.2624126306656342,30.319302024851826,-4.830804036001032
1,1,29.13046166666667,-3.5466083333333334,2.3176555733789503,0.2325222031722288,0.05535914078130484,-0.09388968721341806,-0.6108652381980153,9.0,-1.3635248676003269,-3.156565259947176,3.548254784659508,-8.977735723167177,4.508042384144964,9.582889467101028,-8.973425694724678,27.941621308481512,-2.2624126306656342,30.319302024851826,-4.830804036001032
2,2,28.931876666666668,-3.4135850000000003,2.2237658861655323,0.22272306211732046,0.06524344710370139,-0.0930525932279953,-0.6108652381980153,9.0,-1.425130188305449,-3.0998848002837973,3.5910499639050046,-9.602236932334035,4.427094298655484,9.413882856611332,-8.812295525934605,27.868668100640573,-2.0235894801767405,29.995085232692762,-4.80358051982326
3,3,28.74474,-3.276318333333333,2.130713292937537,0.21323249490654828,0.06968672800737326,-0.08671813498102088,-0.6108652381980153,9.0,-1.3346071968746729,-3.0680448258695896,3.6382752545647135,-9.113513228863715,4.381622102661113,8.302411332992206,-8.72178143197521,27.81528727084791,-1.7935447079030273,29.67419272915209,-4.759091958763639
4,4,28.572443333333332,-3.1326583333333335,2.043995157956516,0.20787443447336143,0.06126827940969007,-0.08315739933791821,-0.6108652381980153,9.0,-1.1890053171863202,-3.065535608179354,3.6677565821559748,-7.96336813005255,4.3780385684183205,7.593772479222951,-8.714648274051651,27.774905438585243,-1.574957044112328,29.36998122808142,-4.69035962255434
5,5,28.42317166666667,-2.9755483333333332,1.9608377586185979,0.22245741847168438,0.056973139409167005,-0.09547965626939847,-0.6108652381980153,9.0,-1.3771543849816557,-3.1027877386784266,3.5930748345219556,-9.20624740255817,4.431240124337468,9.786356365938152,-8.820547945838957,27.757774879601268,-1.3569850457961912,29.08856845373207,-4.594111620870475
6,6,28.285893333333334,-2.7914616666666667,1.8653581023491994,0.2215500883871718,0.07752169599231587,-0.0958414205029321,-0.6108652381980153,9.0,-1.58678255499188,-3.0675049645728696,3.5929328624575136,-11.085189868242633,4.380851100826285,10.101331995098452,-8.720246724205012,27.77783240910292,-1.1168351120969213,28.793954257563747,-4.466088221236412
7,7,28.14739,-2.60196,1.7695166818462673,0.21458547111248985,0.07740425139909073,-0.09110029163371003,-0.6108652381980153,9.0,-1.478231158740114,-3.0493677552483724,3.628339610257819,-10.380828110532997,4.35494848148164,9.200329385347215,-8.66868659894856,27.801913695343895,-0.8863999972833478,28.492866304656108,-4.317520002716652
8,8,28.029146666666666,-2.4068783333333332,1.6784163902125573,0.1947921262759452,0.06279687745958362,-0.0830341805320658,-0.6108652381980153,9.0,-1.1637300639915493,-3.0041646098462063,3.7285805246765067,-7.9789619038955815,4.290391699477063,7.52781695275862,-8.540183928156015,27.84117489720192,-0.6670028740304863,28.21711843613141,-4.14675379263618
9,9,27.94579,-2.2199583333333335,1.5953822096804915,0.19456256463258975,0.06028854305873772,0.0,-0.6108652381980153,9.0,-0.26940399997180425,-3.0540547647015894,3.9912071169100294,-1.5179168227219744,4.361642224689833,-1.7561708038110648,-8.682010743262186,27.90276903937127,-0.4704872141242791,27.988810960628726,-3.969429452542388
10,10,27.880736666666664,-2.0269366666666664,1.5953822096804915,0.19657079008196374,0.05097135821983316,-0.0872861946918011,-0.6108652381980153,9.0,-1.1226603579888708,-3.0160718658432786,3.720653998846937,-7.558466407949888,4.307397023395049,8.12499133759248,-8.574033656616747,27.837715706037937,-0.277465547457612,27.92375762729539,-3.776407785875721
11,11,27.82494833333333,-1.8316783333333333,1.5080960149886904,0.19240009915764897,0.048430811011563574,-0.0861066828811996,-0.6108652381980153,9.0,-1.0708127091137367,-3.0043810875623174,3.741374748208395,-7.206851898769481,4.29070086169583,7.886080253938821,-8.540799327027928,27.93460199858647,-0.08511711949153011,27.715294668080194,-3.5782395471751363
12,12,27.788668333333334,-1.6366216666666666,1.4219893321074908,0.1920248813233224,0.046420648931357035,-0.08666797554456451,-0.6108652381980153,9.0,-1.0579506481870398,-3.003780058991143,3.743311645502116,-7.117253302262905,4.289842503939912,7.9667388807900075,-8.539090734054332,28.048120563537854,0.09403847912796626,27.529216103128814,-3.3672818124612993
13,13,27.771230000000003,-1.4398366666666667,1.3353213565629263,0.1906829260444549,0.04785967574427543,-0.09127122864918302,-0.6108652381980153,9.0,-1.1342501047329379,-2.981339636165673,3.7473995341171626,-7.734429443070293,4.257794258811267,8.753026044258036,-8.47529751256208,28.17951353053782,0.2618697000992256,27.362946469462184,-3.141543033432559
14,14,27.769178333333333,-1.24325,1.2440501279137433,0.1868134799766424,0.05219863843599923,-0.08642449045638845,-0.6108652381980153,9.0,-1.0978620447001204,-2.972829369352658,3.7668588522715085,-7.492260535506507,4.245640338225416,7.934607746486891,-8.451104682507886,28.330863731793695,0.41416048420613794,27.20749293487297,-2.9006604842061376
15,15,27.779701666666668,-1.0495666666666668,1.1576256374573548,0.187697486446011,0.050106401078822846,-0.08558090556142872,-0.6108652381980153,9.0,-1.0681777538833668,-2.9824948451321958,3.763365057962024,-7.242481386146104,4.259444068194178,7.781067073315241,-8.478581519376228,28.482353309828923,0.5531749433133646,27.077050023504412,-2.652308276646698
16,16,27.809175000000003,-0.8575450000000001,1.072044731895926,0.1859938304921259,0.05081683936757953,-0.08564375365373067,-0.6108652381980153,9.0,-1.071667595895369,-2.9736120956045893,3.7712652054542573,-7.292956301190062,4.246758187161936,7.788020763687036,-8.45332980230824,28.64625177680546,0.6792706915300509,26.972098223194546,-2.3943606915300513
17,17,27.853514999999998,-0.6699016666666666,0.9864009782421954,0.18329637985304661,0.054092226202528716,-0.08189616308432557,-0.6108652381980153,9.0,-1.0419516156673834,-2.9685054442786027,3.7849284994737142,-7.106124340223452,4.2394651332496025,7.197707352786479,-8.438812707792863,28.81898155834756,0.7896785211656128,26.888048441652437,-2.129481854498946
18,18,27.909523333333333,-0.4871816666666667,0.9045048151578698,0.1838805595876608,0.05110161983902918,-0.08371822747681845,-0.6108652381980153,9.0,-1.0421189523239305,-2.9697580737790163,3.781963838239214,-7.087179110157042,4.2412540735738045,7.464380660436683,-8.442373659909903,28.991154460838512,0.8885269158506761,26.827892205828153,-1.8628902491840094
19,19,27.98300333333333,-0.31104499999999996,0.8207865876810514,0.18219594082911555,0.04991663320371182,-0.07640205679030698,-0.6108652381980153,9.0,-0.9285893379916151,-2.986173159301142,3.793747471123081,-6.215118626611588,4.264697245242729,6.315864831521795,-8.489038163278291,29.17588363381968,0.9693989029928618,26.790123032846978,-1.5914889029928618
20,20,28.070673333333332,-0.14371,0.7443845308907444,0.18064989449915766,0.05263895650982252,-0.07599913408741354,-0.6108652381980153,9.0,-0.9422602765284069,-2.976896762281392,3.8003968349741464,-6.351749122543819,4.251449177329225,6.267974321121091,-8.462667392355948,29.35780714254426,1.041948701813537,26.783539524122403,-1.329368701813537
